#	profile	energy	nuELumNum	nuEBarLumNum	nuMuLumNum	nuMuBarLumNum	nuELumEnergy	nuEBarLumEnergy	nuMuLumEnergy	nuMuBarLumEnergy
19	2.42	1.6673206e+46	1.525193e+46	3.4394418e+45	3.3839753e+45	4.0349158e+46	3.690967e+46	8.3234491e+45	8.1892203e+45
19	2.44	1.4826482e+46	1.3611976e+46	3.0628002e+45	3.0154031e+45	3.6176616e+46	3.3213221e+46	7.4732324e+45	7.3575835e+45
19	2.46	1.3166604e+46	1.2128517e+46	2.7234421e+45	2.6829299e+45	3.2389846e+46	2.9836152e+46	6.6996676e+45	6.6000077e+45
19	2.48	1.1667496e+46	1.0806346e+46	2.4184911e+45	2.384884e+45	2.8935391e+46	2.6799739e+46	5.9978578e+45	5.9145123e+45
19	2.5	1.031739e+46	9.6096426e+45	2.1433306e+45	2.1157102e+45	2.5793475e+46	2.4024106e+46	5.3583265e+45	5.2892754e+45
19	2.52	9.1709913e+45	8.5611742e+45	1.9068632e+45	1.8830646e+45	2.3110898e+46	2.1574159e+46	4.8052953e+45	4.7453229e+45
19	2.54	8.1028187e+45	7.5974666e+45	1.6876861e+45	1.6679643e+45	2.0581159e+46	1.9297565e+46	4.2867227e+45	4.2366294e+45
19	2.56	7.1613131e+45	6.7597746e+45	1.4955248e+45	1.4798545e+45	1.8332962e+46	1.7305023e+46	3.8285436e+45	3.7884274e+45
19	2.58	6.331887e+45	5.9864851e+45	1.3231538e+45	1.3096742e+45	1.6336269e+46	1.5445131e+46	3.4137368e+45	3.3789594e+45
19	2.6	5.5890094e+45	5.3143107e+45	1.1705533e+45	1.159833e+45	1.4531425e+46	1.3817208e+46	3.0434387e+45	3.0155658e+45
19	2.62	4.9364107e+45	4.7094395e+45	1.0352414e+45	1.0263837e+45	1.2933396e+46	1.2338731e+46	2.7123324e+45	2.6891252e+45
19	2.64	4.355754e+45	4.168634e+45	9.1461769e+44	9.0731519e+44	1.149919e+46	1.1005194e+46	2.4145907e+45	2.3953121e+45
19	2.66	3.8420203e+45	3.6925087e+45	8.0810167e+44	8.0226686e+44	1.0219774e+46	9.822073e+45	2.1495504e+45	2.1340299e+45
19	2.68	3.3947944e+45	3.2713273e+45	7.1479035e+44	7.0997195e+44	9.0980491e+45	8.7671573e+45	1.9156381e+45	1.9027248e+45
19	2.7	2.9890177e+45	2.8915518e+45	6.3033422e+44	6.2653054e+44	8.0703477e+45	7.8071899e+45	1.7019024e+45	1.6916325e+45
19	2.72	2.6373734e+45	2.5586748e+45	5.5681603e+44	5.5374476e+44	7.1736557e+45	6.9595954e+45	1.5145396e+45	1.5061857e+45
19	2.74	2.3205802e+45	2.2572283e+45	4.9044783e+44	4.8797547e+44	6.3583897e+45	6.1848056e+45	1.3438271e+45	1.3370528e+45
19	2.76	2.0464183e+45	1.9935636e+45	4.3276767e+44	4.3070497e+44	5.6481146e+45	5.5022354e+45	1.1944388e+45	1.1887457e+45
19	2.78	1.8042257e+45	1.7606572e+45	3.8181459e+44	3.8011429e+44	5.0157475e+45	4.894627e+45	1.0614446e+45	1.0567177e+45
19	2.8	1.5867573e+45	1.5538649e+45	3.3626725e+44	3.3498361e+44	4.4429204e+45	4.3508217e+45	9.415483e+44	9.3795411e+44
19	2.82	1.3963955e+45	1.3682768e+45	2.9599789e+44	2.9490054e+44	3.9378354e+45	3.8585407e+45	8.3471406e+44	8.3161952e+44
19	2.84	1.2271644e+45	1.2056373e+45	2.6040362e+44	2.595635e+44	3.485147e+45	3.42401e+45	7.3954627e+44	7.3716035e+44
19	2.86	1.0786966e+45	1.0632767e+45	2.292048e+44	2.2860303e+44	3.0850721e+45	3.0409715e+45	6.5552574e+44	6.5380467e+44
19	2.88	9.4918718e+44	9.3581772e+44	2.0170363e+44	2.0118188e+44	2.7336591e+45	2.695155e+45	5.8090646e+44	5.7940381e+44
19	2.9	8.3480604e+44	8.2443132e+44	1.7751834e+44	1.7711346e+44	2.4209375e+45	2.3908508e+45	5.148032e+44	5.1362904e+44
19	2.92	7.3346622e+44	7.2551391e+44	1.560704e+44	1.5576006e+44	2.1417214e+45	2.1185006e+45	4.5572558e+44	4.5481938e+44
19	2.94	6.4436764e+44	6.3732647e+44	1.371068e+44	1.3683201e+44	1.8944409e+45	1.8737398e+45	4.0309398e+44	4.022861e+44
19	2.96	5.6550119e+44	5.6090378e+44	1.20464e+44	1.2028458e+44	1.6738835e+45	1.6602752e+45	3.5657343e+44	3.5604236e+44
19	2.98	4.9612343e+44	4.9122295e+44	1.0560929e+44	1.0541804e+44	1.4784478e+45	1.4638444e+45	3.1471568e+44	3.1414577e+44
19	3	4.3582698e+44	4.3286772e+44	9.2891589e+43	9.2776102e+43	1.3074809e+45	1.2986032e+45	2.7867477e+44	2.783283e+44
19	3.02	3.8226947e+44	3.7966262e+44	8.147543e+43	8.1373696e+43	1.1544538e+45	1.1465811e+45	2.460558e+44	2.4574856e+44
19	3.04	3.3487294e+44	3.3282462e+44	7.1394073e+43	7.1314136e+43	1.0180137e+45	1.0117868e+45	2.1703798e+44	2.1679497e+44
19	3.06	2.9322005e+44	2.9168912e+44	6.2536721e+43	6.2476975e+43	8.9725336e+44	8.925687e+44	1.9136237e+44	1.9117954e+44
19	3.08	2.5672586e+44	2.5548584e+44	5.4762163e+43	5.471377e+43	7.9071565e+44	7.8689637e+44	1.6866746e+44	1.6851841e+44
19	3.1	2.2498702e+44	2.2392192e+44	4.7993844e+43	4.7952278e+43	6.9745975e+44	6.9415796e+44	1.4878092e+44	1.4865206e+44
19	3.12	1.9665777e+44	1.9616406e+44	4.1988894e+43	4.1969627e+43	6.1357224e+44	6.1203188e+44	1.3100535e+44	1.3094524e+44
19	3.14	1.720936e+44	1.713013e+44	3.6712668e+43	3.6681747e+43	5.403739e+44	5.3788609e+44	1.1527778e+44	1.1518069e+44
19	3.16	1.5017723e+44	1.495698e+44	3.204459e+43	3.2020885e+43	4.7456004e+44	4.7264056e+44	1.012609e+44	1.01186e+44
19	3.18	1.3125389e+44	1.3087809e+44	2.8020304e+43	2.8005638e+43	4.1738736e+44	4.1619233e+44	8.9104567e+43	8.905793e+43
19	3.2	1.1466072e+44	1.1440728e+44	2.4484504e+43	2.4474613e+43	3.6691429e+44	3.6610328e+44	7.8350413e+43	7.8318762e+43
19	3.22	9.9930458e+43	9.9788843e+43	2.1345947e+43	2.1340421e+43	3.2177608e+44	3.2132007e+44	6.8733951e+43	6.8716154e+43
19	3.24	8.7461554e+43	8.7254533e+43	1.8675232e+43	1.8667153e+43	2.8337544e+44	2.8270469e+44	6.0507753e+43	6.0481576e+43
19	3.26	7.6035641e+43	7.5880697e+43	1.62377e+43	1.6231653e+43	2.4787619e+44	2.4737107e+44	5.2934903e+43	5.291519e+43
19	3.28	6.6320797e+43	6.617322e+43	1.4161973e+43	1.4156213e+43	2.1753221e+44	2.1704816e+44	4.645127e+43	4.643238e+43
19	3.3	5.7659324e+43	5.7660607e+43	1.2323744e+43	1.2323794e+43	1.9027577e+44	1.9028e+44	4.0668354e+43	4.0668519e+43
19	3.32	5.0197532e+43	5.0124926e+43	1.0722467e+43	1.0719634e+43	1.6665581e+44	1.6641475e+44	3.5598591e+43	3.5589184e+43
19	3.34	4.3523578e+43	4.3397789e+43	9.2913852e+42	9.2864761e+42	1.4536875e+44	1.4494862e+44	3.1033226e+43	3.101683e+43
19	3.36	3.787077e+43	3.7761974e+43	8.0846847e+42	8.0804388e+42	1.2724579e+44	1.2688023e+44	2.7164541e+43	2.7150274e+43
19	3.38	3.2836915e+43	3.285487e+43	7.0198618e+42	7.0205625e+42	1.1098877e+44	1.1104946e+44	2.3727133e+43	2.3729501e+43
19	3.4	2.8499778e+43	2.84705e+43	6.0887517e+42	6.0876091e+42	9.6899247e+43	9.6799699e+43	2.0701756e+43	2.0697871e+43
19	3.42	2.4672009e+43	2.4670809e+43	5.2730884e+42	5.2730415e+42	8.4378272e+43	8.4374166e+43	1.8033962e+43	1.8033802e+43
19	3.44	2.132984e+43	2.1324956e+43	4.5584387e+42	4.558248e+42	7.3374648e+43	7.3357848e+43	1.5681029e+43	1.5680373e+43
19	3.46	1.8460341e+43	1.846007e+43	3.9455384e+42	3.9455279e+42	6.3872779e+43	6.3871842e+43	1.3651563e+43	1.3651526e+43
19	3.48	1.5957191e+43	1.5933886e+43	3.4085236e+42	3.4076142e+42	5.5531025e+43	5.5449925e+43	1.1861662e+43	1.1858497e+43
19	3.5	1.3698878e+43	1.3709805e+43	2.9288405e+42	2.9292669e+42	4.7946074e+43	4.7984316e+43	1.0250942e+43	1.0252434e+43
